Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Action_Type
0.0,A0100,13358399.998614145,6679248.695440171,6095.876793657732,244.01529886823096,0.19223143050759606,0.6728687999244273,2.2525892196964103,tactical_climb
0.0,B0100,13363966.00141262,6768207.310440141,6095.8767828821365,244.01533710101887,180.1922346986675,0.6728673176625919,2.2525910486798693,tactical_climb
0.4,A0100,13358400.114905024,6679345.837551305,6095.807220333552,242.45868575103648,0.22741752181686856,2.6718915392669995,0.9237127756470074,tactical_climb
0.4,B0100,13363965.882185549,6768110.180018371,6095.807128277716,242.45879015977255,180.22743802550738,2.6718806746233956,0.9237734546356401,tactical_climb
0.8,A0100,13358400.475429343,6679442.456904306,6096.523229630372,240.81810610884762,0.18528081390151185,3.4339150554732307,5.519861661404259,tactical_climb
0.8,B0100,13363965.51257332,6768013.5722364215,6096.522993016908,240.81827679787725,180.18531121509466,3.4338870917963007,5.519987175044919,tactical_climb
1.2000000000000002,A0100,13358401.21505978,6679538.346242204,6097.983918970121,239.283407832108,0.06708983616048414,-0.9223748919619896,4.066465462888837,tactical_climb
1.2000000000000002,B0100,13363964.754328845,6767917.694326448,6097.983474166239,239.28367971948407,180.06708418974105,-0.9224206277729263,4.066628092581835,tactical_climb
1.6,A0100,13358401.972686576,6679633.573730653,6098.22205528847,238.2255545449985,0.0208446278700499,-2.0752640108231946,-3.758736284210505,tactical_climb
1.6,B0100,13363963.97758101,6767822.4781300295,6098.2213428580735,238.2259222768537,180.02083920398212,-2.0753048859782663,-3.758463300143268,tactical_climb
2.0,A0100,13358402.752645928,6679728.577321513,6097.078203386209,236.8212426149707,359.9083696905174,3.2233473858393333,1.2296146742229412,tactical_climb
2.0,B0100,13363963.176839836,6767727.483977858,6097.072081504476,236.8910652080764,179.882064564504,3.0491986969965836,1.2587575199725987,tactical_climb
2.4000000000000004,A0100,13358403.556038484,6679822.998420169,6098.247500049395,232.83201862037296,0.5544556022196787,10.817252623247155,4.769067088666292,tactical_climb
2.4000000000000004,B0100,13363962.362053538,6767633.034461817,6097.791043936811,235.09201250366814,180.0904367531343,5.855221666072422,2.738543672124112,tactical_climb
2.8000000000000003,A0100,13358404.983498482,6679916.509801486,6103.542268153095,231.96614664765215,0.5034146429303968,11.202973281017044,-3.342787638038268,tactical_climb
2.8000000000000003,B0100,13363961.445424927,6767538.9782760255,6099.592620268071,235.5741650853343,180.13572118284816,-0.8563833634638615,5.467935070408271,tactical_climb
3.2,A0100,13358406.324488249,6680009.176766679,6111.947695082063,232.8446177416399,1.3797341272928565,6.388703738298618,-4.131560540856447,tactical_climb
3.2,B0100,13363960.579175005,6767444.99764923,6099.614428190437,234.84162493925692,179.48145524266081,-2.7154857046374015,-0.28306287721041656,tactical_climb
3.6,A0100,13358407.870665723,6680101.977968061,6119.2017567308485,232.57592992938697,1.209674034997606,0.5455558414919074,0.3941806960868441,tactical_climb
3.6,B0100,13363959.866158234,6767350.936132255,6098.434702910078,236.01275257410643,179.87501814537168,1.3786193132069344,2.902640143802423,tactical_climb
4.0,A0100,13358409.610621339,6680194.808727839,6124.9972611908115,232.79989208114213,1.2950572673211542,7.100834250053768,2.812005451901283,tactical_climb
4.0,B0100,13363959.072187606,6767256.6795972865,6097.725851063821,235.6140023427094,179.84257806444643,2.9961336143278126,2.6524159490721355,tactical_climb
4.4,A0100,13358411.727155114,6680287.513564737,6132.253632655004,230.4536052961289,1.3951718735615153,12.817461067230447,-0.5542192230007845,tactical_climb
4.4,B0100,13363958.018564623,6767162.456476526,6098.2619535492095,235.24628075302985,180.06119612365546,4.94544889404841,7.20135486790037,tactical_climb
4.800000000000001,A0100,13358414.131915646,6680379.625561407,6142.094987298105,231.43148281964932,1.293792446851695,9.330714534928076,3.748623352056866,tactical_climb
4.800000000000001,B0100,13363956.511327796,6767068.388099546,6100.121827890202,235.86923582991594,180.31939985369755,0.3297112174019631,4.98081338472707,tactical_climb
5.2,A0100,13358416.759595377,6680471.361560241,6152.693928841889,230.66546197497186,1.1306604815403165,3.2126272551038175,-5.401337002603505,tactical_climb
5.2,B0100,13363954.983099021,6766974.292382783,6100.620932320503,235.24848434766722,179.73261611428882,-1.685587941613517,-0.7482789150765664,tactical_climb
5.6000000000000005,A0100,13358419.437904214,6680563.175222027,6162.503659218442,230.43770752424075,1.0421754398633318,12.638791965586146,2.908667045718568,tactical_climb
5.6000000000000005,B0100,13363953.593120432,6766880.102609809,6100.289942779685,236.21858139219327,180.10437793217335,2.392021874243874,2.466207774250298,tactical_climb
6.0,A0100,13358422.35847174,6680654.373896866,6175.471495626337,224.61429362041002,0.9300706637261715,21.6355366482641,-7.555169998868218,tactical_climb
6.0,B0100,13363952.136035774,6766785.7498627985,6100.597959147451,236.02645828893247,180.00550619252618,2.263207772210605,2.1706824222151466,tactical_climb
6.4,A0100,13358423.431347573,6680742.808326164,6195.353405350086,219.81380733868377,359.6545155857348,27.29622084178415,-10.09843593502452,tactical_climb
6.4,B0100,13363950.692680547,6766691.407489996,6100.52693650108,235.82072053965655,179.34743503096772,-3.450934416600493,7.573183017862892,tactical_climb
6.800000000000001,A0100,13358422.659401834,6680828.543109399,6220.329953053594,219.82755667487362,358.955584942428,25.849865314081036,-1.3857292581576235,tactical_climb
6.800000000000001,B0100,13363949.429637622,6766597.2456219345,6099.14707786637,235.9595041751097,179.4521127740809,-1.1896279037687085,0.9030912145130751,tactical_climb
7.2,A0100,13358421.505406428,6680912.556502055,6247.798757099131,220.67369590810858,358.9898799491657,18.84501819901956,-1.2726729650607687,tactical_climb
7.2,B0100,13363948.336028533,6766502.974978059,6097.629924236038,235.28133720688965,179.58180016838156,4.541618465500883,0.355525161669492,tactical_climb
7.6000000000000005,A0100,13358420.189431917,6680996.527839764,6274.050421468127,219.48552910933245,359.4633146280565,12.994780994751277,5.278879918626622,tactical_climb
7.6000000000000005,B0100,13363947.274806969,6766408.69640038,6097.545735003716,235.91793558182906,179.3651009466758,1.3805879063902722,5.500530071798706,tactical_climb
8.0,A0100,13358418.993328301,6681080.371034212,6298.735261343524,217.1025991507855,359.87498463260675,21.421527568484855,-2.891151074893515,tactical_climb
8.0,B0100,13363946.158399923,6766314.540195681,6097.601173202089,235.6792567557898,179.3790388566046,0.005381974406186565,5.378365366390786,tactical_climb
8.4,A0100,13358417.403538289,6681162.161582248,6326.455443049202,212.89656316002862,359.2812943588895,27.803658648377688,-9.070591604738153,tactical_climb
8.4,B0100,13363945.072543552,6766220.52174951,6098.021641158879,235.15217437342295,179.6323621363369,3.457379018939757,-1.3230168865824492,tactical_climb
